PDOid,natural_tair,natural_preci,natural_available_water,natural_shannon_x,natural_shannon_y,natural_simpson,natural_evenness,natural_Shift_area_[km²],natural_Shift_area_[% tot],social_Total_dependency,social_Aging_Index,"financial_Liabilities / Current assets,Buildings Machinery",financial_Liabilities / Total assets,financial_cash flow/ liabilities,financial_Wages €/h unpaid labour,financial_Cost-income ratio,financial_Return on equity,financial_Return on assets,financial_Subsidy % / of net income,financial_Subsidy Dependency (%of Income),legal_Irrigation,legal_Amendment,legal_Nr Varieties,legal_PDO_age,human_labour_total,human_labour_regular,human_labour_sol_holder,human_labour_family,human_labour_regular_non_family,human_labour_non_regular,human_labour_farm_man,human_labour_regular_perc,human_human_resources_2020,human_training_managers_2016,human_route,physical_road_lenght,physical_machinery_per_area,physical_machines_buildings_per_area,social_POP_density,social_POP_density_agr
PDO-FR-A0720,0.23380422781184,0.0594882447097568,0.32650817280933,0.0,0.5959101889344797,0.1511632694237897,0.4064497960966222,0.0,0.0,0.3539453669261545,0.7614102359269304,0.7913935593425685,0.4774878430342989,0.0076048639111879,0.4983636886631754,0.2018126142553262,0.4661158924046188,0.3915014830506118,0.9831847044450632,0.985987539996906,0.0,1.0,0.1428571428571428,1.0,0.2743341975017676,0.2245834750085005,0.1972511144130757,0.0188783243764641,0.2738493723849372,,0.2461942257217848,0.572836637582736,0.7687499999999999,0.5867748119324745,0.755096482584762,0.1294248791099545,0.1984233445926101,0.1109379294198268,0.0651811719738587,0.0333183804697962
PDO-FR-A0721,0.20263817081500118,0.03870141934066058,0.22809850278286564,0.2227163547829304,0.7220002446505607,0.41774389781239424,0.5831806835924664,0.004479840716774108,0.004139912418644228,0.20688076543858508,0.6463127542010331,0.802308189966049,0.5066890220569338,0.005084504383096501,0.2251430068271039,0.09384688220134847,0.20227427277679338,0.1713087490592109,0.957918513258216,0.9382831971686764,0.0,0.0,0.0451127819548872,1.0,0.29248173462173,0.2616456987419245,0.27173105497771166,0.023425657985393398,0.2673640167364017,0.35658914728682156,0.31916010498687664,0.7046035362184501,0.7750000000000004,0.6805272940139593,0.475989705026696,0.3020707344149244,0.15790758771449917,0.08731178479778445,0.2912849482426667,0.2291453414995785
PDO-FR-A0722,0.6316759029246097,0.09126889048645664,0.20946145625381019,0.053919486031257666,0.7327631362873898,0.44041808545379946,0.6694859050628298,0.018292682926829812,0.028111773714645207,0.1539852008391932,0.3533376620648323,0.8014034631765087,0.4429970964491088,0.0059826588613984,0.5924564777699712,0.110874985179114,0.3354550803881682,0.3675950116629347,0.9549635139285002,0.97133215013188,0.0,0.0,0.0,0.518800841913647,0.0364521957734307,0.0346820809248554,0.0408618127786032,0.0031693537274355,0.0303347280334728,0.030454042081949,0.042344706911636,0.805873268950856,0.68125,0.7185338628184478,0.0,0.06294483485572769,0.3095660562702871,0.1995150514015509,0.04254380777144251,0.1839858059392651
PDO-FR-A0724,0.24483594300137246,0.0534669242125839,0.34764151758191614,0.15122534451505867,0.5959101889344797,0.1511632694237897,0.4064497960966222,0.0,0.0,0.28488159808353675,0.6775949314178557,0.7913935593425685,0.4774878430342989,0.0076048639111879,0.4983636886631754,0.2018126142553262,0.4661158924046188,0.3915014830506118,0.9831847044450632,0.985987539996906,1.0,1.0,0.1428571428571428,0.2055293247625007,0.2743341975017676,0.2245834750085005,0.1972511144130757,0.0188783243764641,0.2738493723849372,,0.2461942257217848,0.572836637582736,0.7687499999999999,0.5867748119324745,0.753666952252146,0.0976529348012021,0.1984233445926101,0.1109379294198268,0.06568789014181682,0.04505129971583728
PDO-FR-A0725,0.25079922709148733,0.057239829847872695,0.26870620741168505,0.20527511554635464,0.6835147513697076,0.35019908965908514,0.5228759528921957,0.0,0.0,0.24214783354268263,0.7373893339661622,0.7913935593425687,0.47748784303429886,0.007604863911187899,0.49836368866317543,0.20181261425532618,0.46611589240461865,0.39150148305061166,0.983184704445063,0.9859875399969059,1.0,1.0,0.0827067669172932,0.518800841913647,0.2743341975017676,0.22458347500850057,0.19725111441307572,0.0188783243764641,0.27384937238493723,,0.2461942257217847,0.5728366375827358,0.76875,0.5867748119324745,0.17429803308991323,0.08249687409451727,0.19842334459261016,0.11093792941982679,0.16167660904070139,0.30839246329540015
PDO-FR-A0726,0.03833171884865945,0.01937397310703773,0.2748617270471,0.16251357701080982,0.7377783750325294,0.48037387479124205,0.6650722531649674,0.0,0.0,0.22194449108836345,0.759068104662067,0.8351092923832819,0.4936254163767627,0.006215501897160401,1.0,0.36113002586496384,0.5202600330044784,0.6377269016787721,0.9754475143893855,0.9738268312208416,0.0,1.0,0.0526315789473684,1.0,0.2553224919475214,0.2444746684801088,0.17997771173848437,0.0113683340223232,0.3652719665271967,,0.2787401574803149,0.8139343850815308,0.7500000000000001,0.8623805938393139,0.42579144930844925,0.06652856757041344,0.22564743894777467,0.077239986007811,0.12838952892929476,0.07105318829997527
PDO-FR-A0727,0.0401149424736768,0.011708132720169498,0.29717042707002966,0.051077238175059686,0.3085949660275204,0.1100911104209427,0.347821872196955,0.0,0.0,0.25640026624952844,0.7123294073257198,0.7257334747428911,0.1416873358886923,0.0041383226287223,0.6288656036633311,0.1617568040134593,0.6038227531080625,0.4427667725919748,0.9854415423018587,0.9778461416671264,0.0,0.0,0.0150375939849624,1.0,0.25893628721816325,0.2535702142128527,0.1851783060921248,0.0137797988149373,0.3742677824267782,0.1727574750830564,0.294838145231846,0.8517062745441949,0.6437499999999999,0.946059988671662,0.822969402567204,0.04249507025218228,0.3111435031700827,0.1397289508432873,0.04772907282350849,0.02407768020679622
PDO-FR-A0729,0.06982198950964154,0.04210808970863438,0.26101611934928715,0.4667051732397859,0.39669745548253604,0.1010049540580834,0.37456472475952285,0.0,0.0,0.1094462438429951,0.659229204703497,0.7257334747428911,0.1416873358886923,0.0041383226287223,0.6288656036633311,0.1617568040134593,0.6038227531080625,0.4427667725919747,0.9854415423018585,0.9778461416671264,,1.0,0.007518796992481201,1.0,0.25893628721816325,0.2535702142128527,0.1851783060921248,0.013779798814937298,0.3742677824267782,0.17275747508305642,0.294838145231846,0.8517062745441948,0.6437499999999999,0.946059988671662,0.7337979674606315,0.3171707686168868,0.3111435031700827,0.1397289508432873,0.09294829617044306,0.07410834641377843
PDO-FR-A0730,0.01872223237984309,0.014820250314948054,0.2805845376669253,0.24163522206129923,0.3683883797124651,0.0954294797946594,0.3065228591170522,0.0,0.0,0.2735240919541167,0.7138301928426994,0.708462595019727,0.1609040029915047,0.0020714861542299005,0.32922151685388695,0.0810054814009397,0.23773950277262385,0.21694820706967666,0.9757421821414382,0.9687775383516202,,1.0,0.037593984962406006,1.0,0.5102521800612775,0.4627677660659641,0.3192793462109955,0.021427587157227507,0.7148535564853558,0.5813953488372093,0.45564304461942245,0.7258684000726155,0.6562500000000001,0.7455446411401796,0.6854037420414416,0.30607933099793805,0.21398816928926853,0.11684225868438923,0.1648105047725718,0.21239192141659266
PDO-FR-A0731,0.01999642960074084,0.01765319757548644,0.28346042564868834,0.1414554018613018,0.3683883797124652,0.0954294797946594,0.3065228591170522,0.0,0.0,0.3057523289192169,0.8282686110530253,0.7084625950197271,0.1609040029915047,0.0020714861542299,0.3292215168538869,0.0810054814009397,0.2377395027726239,0.2169482070696766,0.975742182141438,0.9687775383516204,1.0,1.0,0.037593984962406,1.0,0.5102521800612774,0.46276776606596404,0.3192793462109955,0.0214275871572275,0.7148535564853556,0.5813953488372093,0.4556430446194225,0.7258684000726157,0.6562500000000001,0.7455446411401797,0.7888355140257188,0.32895759885911124,0.2139881692892685,0.1168422586843892,0.16807844275540704,0.28615528806002266
